start	end	text
0	20240	I think we have to do something about a culture, a piece of the culture of medicine that has
20240	24520	to change, and I think it starts with one physician, and that's me, and maybe I've been
24520	28520	around long enough that I can afford to give away some of my false prestige to be able
28520	30720	to do that.
30720	34760	Before I actually begin the meat of my talk, let's begin with a bit of baseball.
34760	35760	Hey, why not?
35760	36760	We're near the end.
36760	39040	We're getting close to the World Series, right?
39040	44120	We all love baseball, don't we?
44120	49600	Baseball is filled with some amazing statistics, and there's hundreds of them.
49600	54120	Moneyball is about to come out, and it's all about statistics and using statistics to build
54120	55120	a great baseball team.
55120	60000	I'm going to focus on one stat that I hope a lot of you have heard of.
60000	62280	It's called batting average.
62280	65360	So we talk about a batter who bats 300.
65360	72280	That means that ball player batted safely, hit safely three times out of ten at bats.
72280	76320	That means hit the ball into the outfield, it drops, it didn't get caught, and whoever
76320	80520	tried to throw to first base didn't get there in time, and the runner was safe.
80520	83560	Three times out of ten.
84480	89440	Do you know what they call a 300 hitter in Major League Baseball?
89440	91520	Good.
91520	92520	Really good.
92520	94520	You know, maybe an all-star.
94520	98920	Do you know what they call a 400 baseball hitter?
98920	103680	That's somebody who hit, by the way, four times safely out of every ten.
103680	106380	Legendary.
106380	110960	As in Ted Williams' legendary, the last Major League Baseball player to hit over 400 during
110960	111960	a regular season.
112960	116560	Now let's take this back into my world of medicine where I'm a lot more comfortable,
116560	122360	or perhaps a bit less comfortable, after what I'm going to talk to you about.
122360	127120	Suppose you have appendicitis, and you're referred to a surgeon who's batting 400 on
127120	131680	appendectomies.
131680	133960	Somehow this isn't working out, is it?
133960	140040	Now suppose you live in a certain part of a certain remote place, and you have a loved
140040	146200	one who has blockages in two coronary arteries, and your family doctor refers that loved one
146200	149880	to a cardiologist who is batting 200 on angioplasties.
149880	153560	But, but, you know what, she's doing a lot better this year.
153560	158640	She's on the comeback trail, and she's hitting 257.
158640	162360	Somehow this isn't working, but I'm going to ask you a question.
162360	166760	What do you think a batting average for a cardiac surgeon or a nurse practitioner or
166760	173360	an orthopedic surgeon, an OBGYN, a paramedic, is supposed to be?
173360	174360	One thousand.
174360	175360	One thousand.
175360	176360	Very good.
176360	177360	Okay.
177360	182400	Now, the truth of the matter is, nobody knows in all of medicine what a good surgeon or
182400	186040	physician or paramedic is supposed to bat.
186040	189960	What we do, though, is we send each one of them, including myself, out into the world
189960	191720	with the admonition, be perfect.
191720	196240	Never, ever, ever make a mistake, but you worry about the details, about how that's
196240	197600	going to happen.
197600	200760	And that was the message that I absorbed when I was in med school.
200760	204060	I was an obsessive-compulsive student.
204060	212160	In high school, a classmate once said that Brian Goldman would study for a blood test.
212160	214440	And so I did.
214440	218240	I studied in my little garret at the nurse's residence at Toronto General Hospital not
218240	221760	far from here, and I memorized everything.
221760	226480	I memorized in my anatomy class the origins and insertions of every muscle, every branch
226480	232180	of every artery that came off the aorta, differential diagnoses, obscure and common.
232180	236880	I even knew the differential diagnosis and how to classify renal tubular acidosis.
236880	240120	And all the while, I was amassing more and more knowledge.
240120	241120	And I did well.
241120	244080	I graduated with honors, cum laude.
244080	249800	And I came out of medical school with the impression that if I memorized everything
249800	254920	and knew everything or as much as possible, as close to everything as possible, that it
254920	258460	would immunize me against making mistakes.
258460	265840	And it worked for a while until I met Mrs. Drucker.
265840	269560	I was a resident at a teaching hospital here in Toronto, and Mrs. Drucker was brought to
269560	272560	the emergency department at the hospital where I was working.
272560	277560	At the time, I was assigned to the cardiology service, cardiology rotation.
277560	282000	And it was my job when the emergency staff called for a cardiology consult to see that
282000	285940	patient in emerge and to report back to my attending.
285940	290400	And I saw Mrs. Drucker, and she was breathless, and when I listened to her, she was making
