start	end	text
0	20360	I have had the distinct blessing in my life to have worked on a bunch of amazing projects,
20360	25160	but the coolest project I ever worked on was around this guy.
25160	26720	This guy's name is Tempt.
26720	31320	Tempt was one of the foremost graffiti artists in the 80s, and he came home from a run one
31320	35940	day and said, dad, my legs are tingling, and that was the onset of ALS.
35940	38040	So Tempt is now completely paralyzed.
38040	40800	He only has use of his eyes.
40800	45000	I was exposed to him and my company, I have a company that does design and animation,
45000	48760	so obviously graffiti is definitely an intricate part of what we admire and respect in the
48760	50600	art world.
50600	54320	So we decided that we were going to sponsor Tony and Tempt and his cause.
54320	59720	So I went and met with his brother and father and said, we're going to give you this money,
59720	60720	what are you going to do with it?
60720	64240	And his brother said, I just want to be able to talk to Tony again.
64240	66960	I just want to be able to communicate with him and him to be able to communicate with
66960	67960	me.
67960	70640	And I said, well, wait a second, isn't that, I mean, I've seen Stephen Hawking, don't all
70640	74520	paralyzed people have that ability to communicate via these devices?
74520	80000	And he said, no, unless you're in the upper echelon and you've got really amazing insurance,
80000	83440	you can't actually do that, that these devices aren't accessible to people.
83440	84720	I said, well, how do you actually communicate?
84720	88600	And he said, we run it, did everyone see the movie, The Diving Bell and the Butterfly?
88600	89680	That's how they communicate.
89680	94200	So run their finger along, that's archaic, how can that be?
94200	100880	So I showed up with the desire to just write a check and instead I wrote a check that I
100880	103680	had no freaking idea how I was going to cash.
103680	107160	I committed to his brother and his father right then and there, I'm like, all right,
107160	108160	here's the deal.
108160	110960	Tony's going to speak, we're going to get him a machine and we're going to figure out
110960	115200	a way for him to do his art again, because it's a travesty that someone who still has
115200	118060	all of that in them isn't able to communicate it.
118060	122600	So I spoke at a conference a couple months after that, I met these guys called GRL, Graffiti
122600	127960	Research Lab, and they have a technology that allows them to project the light on any surface
127960	131960	and then with a laser pointer draw on it and it just registers the negative space.
131960	135720	So they go around and do art installations like this.
135720	138960	All the things that go up there, they said there's a life cycle, at first it starts with
138960	145400	the sexual organs, then it starts with cuss words, then it was bush, you know, slanders,
145400	150400	and then people actually got to art, but there was always a life cycle of presentations.
150400	153600	So I went home and I was having dinner with my wife and was telling her about this and
153600	157080	we were like, well, wait a second, if we know that this technology exists where you can
157080	161440	use your eyes to control things, why don't we figure out a way for Tempt to control a
161440	164520	laser and he can do graph again, that would be awesome.
164520	170520	So that started the journey and about two years later, about a year later, after a bunch
170520	174920	of organization and a bunch of kind of moving things around, we'd accomplished a couple
174920	175920	of things.
175920	179520	One, we battered down the doors of the insurance companies and we actually got Tempt a machine
179520	186800	that let him communicate, a Stephen Hawking machine, yeah, which was awesome and he is
186800	190320	seriously one of the funny, I call him Yoda because you talk to the guy, you get an email
190320	194360	from him and you're like, I'm just, I'm not worthy, this guy is so amazing.
194360	199240	The other thing we did is we flew seven programmers from all over the world, literally every corner
199240	201640	of the world into our house.
201640	207160	My wife and kids and I moved to our back garage and these hackers and programmers and conspiracy
207160	210080	theorists and anarchists took over our house.
210080	214220	A lot of our friends thought we were absolutely stupid to do that and that we were gonna come
214220	217960	back and all the pictures on the wall would be removed and graph on the wall.
217960	224240	But for over two weeks, we programmed, we went to the Venice boardwalk, my kids got
224240	231000	involved, my dog got involved and we created this.
231000	235200	This is called the iRider and you can see the description.
235200	239200	This is a cheap pair of sunglasses that we bought at the Venice Beach boardwalk.
239200	243760	Some copper wire and some stuff from Home Depot and Radio Shack.
243760	249220	We took a PS3 camera, hacked it open, mounted it to an LED light and now there's a device
249220	253560	that is free, you build this yourself, we publish the code for free.
253560	258080	We download the software for free and now we've created a device that has absolutely
258080	259640	no limitation.
259640	263320	There's no insurance company that can say no.
263320	265440	There's no hospital that can say no.
265440	268960	Anybody who's paralyzed now has access to actually draw or communicate using only their
268960	269960	eyes.
269960	284640	Thank you.
284640	285640	Thank you guys very much.
285640	289060	That was awesome.
289060	293000	At the end of the two weeks, we went back to Temp's room.
293000	296200	I love this picture because this is someone else's room and that's his room so there's
296200	299940	all this hustle and bustle going on for the big unveiling.
299940	305540	After over a year of planning, two weeks of programming and carb fest and all night
305540	309260	sessions, Tony drew again for the first time in seven years.
309260	313920	This is an amazing picture because this is his life support system and he's looking over
313920	314920	his life support system.
314920	319500	We kicked his bed so that he could see out and we set up a projector on a wall out in
319500	324120	the parking lot outside of his hospital and he drew again for the first time in front
324120	329260	of his family and friends and it's just like you can only imagine what the feeling in the
329260	330260	parking lot was.
330260	332820	The funny thing is we had to break into the parking lot too so we totally felt like we
332820	337460	were legit in the whole graph scene too.
337460	342100	At the end of this, he sent us an email and this is what the email said.
342100	345500	That was the first time I've drawn anything for seven years.
345500	349840	I feel like I'd been held under water and someone finally reached down and pulled my
349840	351860	head up so I could breathe.
351860	358120	Isn't that awesome?
358120	359360	That's kind of our battle cry.
359360	365000	That's what keeps us going and keeps us developing and we've got such a long way to go with this.
365000	368760	This is an amazing device but it's the equivalent of an Etch A Sketch and someone who has that
368760	372560	kind of artistic potential deserves so much more so we're in the process of trying to
372560	375960	figure out how to make it better, faster, stronger.
375960	379320	Since that time, we've had all kinds of acknowledgement.
379320	380320	We've won a bunch of awards.
380320	381320	Remember, it's free.
381320	382920	None of us are making any money on this thing.
382920	386400	It's all coming out of our own pockets so the awards were like, oh, this is fantastic.
386400	390040	Armstrong twittered about us and then in December, Time Magazine honored us as one of the top
390040	395720	50 inventions of 2010 which is really cool.
395720	399560	The coolest thing about this and this is what's kind of completing the whole circle is that
399560	404880	in April of this year at the Geffen Mocha in downtown Los Angeles, there's going to
404880	408760	be an exhibition called Art of the Streets and Art of the Streets is going to have pretty
408760	411400	much the bad asses of the street art scene.
411400	416520	Dixie, Shepard Fairey, Kaws, all of these guys will be there.
416520	423040	Temp's going to be in the show which is pretty awesome.
423040	426120	Basically this is my point.
426120	430240	If you see something that's not possible, make it possible.
430240	431800	Everything in this room wasn't possible.
431800	437120	This stage, this computer, this mic, the iWriter wasn't possible at one point.
437120	438200	Make it possible.
438200	440680	Everyone in this room ... I'm not a programmer.
440680	444440	I've never done anything with ocular recognition technology but I just recognized something
444440	448360	and associated myself with amazing people so that we could make something happen.
448360	452240	This is the question I want everyone to ask yourself every single day when you come up
452240	454720	with something that you feel that needs to be done.
454720	456680	If not now, then when?
456680	457680	If not me, then who?
457680	458680	Thank you guys.
458680	459680	Thank you.
459680	459700	Thank you guys.
