start	end	text
0	23120	I want you to imagine two couples in the middle of 1979 on the exact same day at the exact
23120	26560	same moment each conceiving a baby.
26560	28440	So two couples each conceiving one baby.
28440	31440	I don't want you to spend too much time imagining the conception because if you spend all that
31440	34240	time imagining that conception you're not going to listen to me.
34240	40920	So just imagine that for a moment and in this scenario I want to imagine that in one case
40920	45540	the sperm is carrying a Y chromosome meeting that X chromosome of the egg and in the other
45540	50760	case the sperm is carrying an X chromosome meeting the X chromosome of the egg.
50760	53360	Both are viable, both take off.
53360	55440	We'll come back to these people later.
55440	59520	So I wear two hats in most of what I do.
59520	62500	As the one hat I do history of anatomy.
62500	67920	I'm an historian by training and what I study in that case is the way that people have dealt
67920	73400	with anatomy, meaning human bodies, animal bodies, how they dealt with bodily fluids,
73400	77280	concepts of bodies, how they thought about bodies.
77280	83160	The other hat that I've worn in my work is as an activist, as a patient advocate or I
83160	87840	sometimes say as an inpatient advocate for people who are patients of doctors.
87840	92280	In that case what I've worked with is people who have body types that challenge social
92280	93500	norms.
93500	98060	So some of what I've worked on for example is people who are conjoined twins, two people
98060	99840	within one body.
99840	103280	Some of what I've worked on is people who have dwarfism, so people who are much shorter
103280	104960	than typical.
104960	109600	And a lot of what I've worked on is people who have atypical sex, so people who don't
109600	113120	have the standard male or the standard female body types.
113120	117000	And as a general term we can use the term intersex for this.
117000	119000	Intersex comes in a lot of different forms.
119000	123360	I'll just give you a few examples of the types of ways you can have sex that isn't standard
123360	124980	for male or female.
124980	131160	So in one instance you can have somebody who has an XY chromosomal basis and that SRY gene
131160	136560	on the Y chromosome tells the protogonads which we all have in the fetal life to become
136560	137560	testes.
137560	140400	In the fetal life those testes are pumping out testosterone.
140400	146000	But because this individual lacks receptors to hear that testosterone the body doesn't
146000	151280	react to the testosterone and this is a syndrome called androgen insensitivity syndrome.
151280	154160	So lots of levels of testosterone but no reaction to it.
154160	158080	As a consequence the body develops more along the female typical path.
158080	160380	When the child is born she looks like a girl.
160380	161760	She is a girl.
161760	166080	She is raised as a girl and it's often not until she hits puberty and she's growing and
