start	end	text
0	19360	I'm Jessi, and this is my suitcase.
19360	25120	But before I show you what I've got inside, I'm going to make a very public confession,
25120	28960	and that is I'm outfit obsessed.
28960	36080	I love finding, wearing, and more recently, photographing and blogging a different, colorful,
36080	39560	crazy outfit for every single occasion.
39560	42280	But I don't buy anything new.
42280	46720	I get all my clothes secondhand from flea markets and thrift stores.
46720	50800	Oh, thank you!
50800	55920	Secondhand shopping allows me to reduce the impact my wardrobe has on the environment
55920	57400	and on my wallet.
57400	60320	I get to meet all kinds of great people.
60320	62600	My dollars usually go to a good cause.
62600	67880	I look pretty unique, and it makes shopping like my own personal treasure hunt.
67880	70080	I mean, what am I going to find today?
70080	72480	Is it going to be my size?
72480	74520	Will I like the color?
74520	76680	Will it be under $20?
76680	80720	If all the answers are yes, I feel as though I've won.
80720	87080	I want to get back to my suitcase and tell you what I packed for this exciting week here
87080	88080	at TED.
88080	90880	I mean, what does somebody with all these outfits bring with her?
90880	94440	So I'm going to show you exactly what I brought.
94440	101600	I brought seven pairs of underpants, and that's it.
101600	106240	Exactly one week's worth of undies is all I put in my suitcase.
106240	111620	I was betting that I'd be able to find everything else I could possibly want to wear once I
111620	113820	got here to Palm Springs.
113820	119740	And since you don't know me as the woman walking around TED in her underwear, that
119740	124340	means I found a few things, and I'd really love to show you my week's worth of outfits
124340	125340	right now.
125340	126340	Does that sound good?
126340	134540	So as I do this, I'm also going to tell you a few of the life lessons that, believe it
134540	138600	or not, I have picked up in these adventures wearing nothing new.
138600	141260	So let's start with Sunday.
141260	143220	I call this shiny tiger.
143220	146540	You do not have to spend a lot of money to look great.
146540	150560	You can almost always look phenomenal for under $50.
150560	155900	This whole outfit, including the jacket, cost me $55, and it was the most expensive thing
155900	158460	that I wore the entire week.
158460	161220	Monday, color is powerful.
161220	166520	It is almost physiologically impossible to be in a bad mood when you're wearing bright
166520	168020	red pants.
168860	175020	If you are happy, you are going to attract other happy people to you.
175020	180300	Tuesday, fitting in is way overrated.
180300	185540	I spent a whole lot of my life trying to be myself and at the same time fit in.
185540	187620	Just be who you are.
187620	192820	If you are surrounding yourself with the right people, they will not only get it, they will
192820	194940	appreciate it.
195500	198860	Wednesday, embrace your inner child.
198860	204340	Sometimes people tell me that I look like I'm playing dress up or that I remind them
204340	206700	of their seven-year-old.
206700	211420	I like to smile and say thank you.
211420	214760	Thursday, confidence is key.
214760	219160	If you think you look good in something, you almost certainly do.
219160	223340	And if you don't think you look good in something, you're also probably right.
223340	226620	I grew up with a mom who taught me this day in and day out.
226620	230740	But it wasn't until I turned 30 that I really got what this meant.
230740	234180	And I'm going to break it down for you for just a second.
234180	240980	If you believe you're a beautiful person, inside and out, there is no look that you
240980	242420	can't pull off.
242420	245060	So there is no excuse for any of us here in this audience.
245060	247740	We should be able to rock anything we want to rock.
247740	249580	Thank you.
249580	260940	Friday, a universal truth, five words for you, gold sequins go with everything.
260940	267260	And finally, Saturday, developing your own unique personal style is a really great way
267260	271220	to tell the world something about you without having to say a word.
271220	275060	It's been proven to me time and time again as people have walked up to me this week simply
275060	276940	because of what I'm wearing.
276940	279120	And we've had great conversations.
279120	283180	So obviously this is not all going to fit back in my tiny suitcase.
283180	287920	So before I go home to Brooklyn, I'm going to donate everything back because the lesson
287920	292440	I'm trying to learn myself this week is that it's okay to let go.
292440	297440	I don't need to get emotionally attached to these things because around the corner, there's
297440	304880	always going to be another crazy, colorful, shiny outfit just waiting for me if I put
304880	307880	a little love in my heart and look.
307880	308880	Thank you very much.
308880	308900	Thank you.
