start	end	text
0	23200	I have spent the past few years putting myself into situations that are usually very difficult
23200	25800	and at the same time somewhat dangerous.
25800	30880	I went to prison, difficult.
30880	35640	I worked in a coal mine, dangerous.
35640	40200	I filmed in war zones, difficult and dangerous.
40200	46360	And I spent 30 days eating nothing but this, fun in the beginning, little difficult in
46360	49040	the middle, very dangerous in the end.
49040	56880	In fact, most of my career I have been immersing myself into seemingly horrible situations
56880	62240	for the whole goal of trying to examine societal issues in a way that make them engaging, that
62240	66540	make them interesting, that hopefully break them down in a way that make them entertaining
66540	68740	and accessible to an audience.
68740	72160	So when I knew I was coming here to do a TED Talk that was going to look at the world of
72160	76200	branding and sponsorship, I knew I would want to do something a little different.
76200	82040	So as some of you may or may not have heard, a couple weeks ago I took out an ad on eBay.
82040	87920	I sent out some Facebook messages, some Twitter messages, and I gave people the opportunity
87920	93520	to buy the naming rights to my 2011 TED Talk.
93520	98320	That's right, some lucky individual, corporation, for-profit or non-profit, was going to get
98320	101320	the once-in-a-lifetime opportunity, because I'm sure Chris Anderson will never let it
101320	107920	happen again, to buy the naming rights to the talk you're watching right now, that at
107920	112040	the time didn't have a title, didn't really have a lot of content, and didn't really give
112040	115760	much hint as to what the subject matter would actually be.
115760	118000	So what you were getting was this.
118000	123200	Your name here presents my TED Talk, that you have no idea what the subject is and depending
123200	127720	on the content could ultimately blow up in your face, especially if I make you or your
127720	129320	company look stupid for doing it.
129320	139160	But that being said, it's a very good media opportunity.
139160	145040	You know how many people watch these TED Talks, it's a lot.
145040	148680	That's just a working title by the way.
148680	154080	So even with that caveat, I knew that someone would buy the naming rights.
154080	156400	Now if you'd have asked me that a year ago, I wouldn't have been able to tell you that
156400	160240	with any certainty, but in the new project that I'm working on, my new film, we examine
160240	165280	the world of marketing, advertising, and as I said earlier, I put myself in some pretty
165280	171120	horrible situations over the years, but nothing could prepare me, nothing could ready me for
171120	183120	anything as difficult or as dangerous as going into the rooms with these guys.
183120	185760	You see, I had this idea for a movie.
185760	190680	What I want to do is make a film all about product placement, marketing, and advertising,
190680	194800	where the entire film is funded by product placement, marketing, and advertising.
194800	197720	So the movie will be called The Greatest Movie Ever Sold.
197720	201480	So what happens in The Greatest Movie Ever Sold is that everything from top to bottom,
201480	204880	from start to finish, is branded from beginning to end.
204880	208400	From the above the title sponsor that you'll see in the movie, which is Brand X.
208400	213760	Now this brand, the Qualcomm Stadium, the Staples Center, these people will be married
213760	217840	to the film In Perpetuity Forever, and so the film explores this whole idea.
217840	218840	It's what?
218840	219840	In Perpetuity Forever.
219840	220840	I'm a redundant person.
220840	221840	I'm just saying.
221840	227440	That was more in perpetuity, period, forever, but not only are we going to have the Brand
227440	231320	X title sponsor, but we're going to make sure we sell out every category we can in the film.
231320	234200	So maybe we sell a shoe and it becomes the greatest shoe you ever wore, the greatest
234200	237940	car you ever drove from The Greatest Movie Ever Sold, you know, the greatest drink you've
237940	239920	ever had, courtesy of The Greatest Movie Ever Sold.
239960	244480	So the idea is, beyond just showing that brands are part of your life, but actually get them
244480	245480	to finance the film?
245480	248760	Get them to finance the film, and actually we show the whole process of how does it work.
248760	250960	The goal of this whole film is transparency.
250960	253280	You're going to see the whole thing take place in this movie.
253280	257960	So that's the whole concept, the whole film, start to finish, and I would love for CEG
257960	258960	to help make it happen.
258960	265860	Yeah, you know, it's funny because when I first hear it, it is the ultimate respect
265860	266860	for an audience.
266900	270740	I don't know how receptive people are going to be to it, though.
270740	273980	Do you have a perspective, or do you, I don't want to use angle because that sort of has
273980	277420	a negative connotation, but do you sort of know how this is going to play out?
277420	278420	No idea.
278420	281420	How much money does it take to do this?
281420	282420	1.5 million.
282420	283420	Good, good.
283420	287460	I think that you're going to have a hard time meeting with them, but I think it's certainly
287460	291220	worth pursuing a couple of really big, obvious brands.
291220	292220	Who knows?
292220	295020	Maybe by the time your film comes out, we look like a bunch of blithering idiots.
295020	296620	What do you think the response is going to be?
297380	299740	The response is mostly will be no.
299740	303260	But is the toughest sell because of the film, or is the toughest sell because of me?
303260	304260	Both.
304260	307380	That meaning, not so optimistic.
307380	310660	So, sir, can you help me?
