start	end	text
0	22060	In 2007, I decided that we needed to re-conceptualize how we thought about economic development.
22060	27100	Our new goal should be that when every family thinks about where they want to live and work,
27100	32860	they should be able to choose between at least a handful of different cities that were all
32860	36620	competing to attract new residents.
36620	39180	Now we're a long way away from that goal right now.
39180	43140	There are billions of people in developing countries who don't have even a single city
43140	45340	that would be willing to welcome them.
45340	50460	But the amazing thing about cities is they're worth so much more than it costs to build
50460	51460	them.
51460	57540	So we could easily supply the world with dozens, maybe hundreds of new cities.
57540	61500	Now this might sound preposterous to you if you've never thought about new cities, but
61500	64500	just substitute apartment building for cities.
64500	67260	Imagine half the people who wanted to be in apartments already had them.
67260	69120	The other half aren't there yet.
69120	75160	You could try and expand the capacity by doing additions on all the existing apartments,
75160	78780	but you know what you'd run into is those apartments in the surrounding areas have rules
78780	83740	to avoid discomfort and the distractions of construction.
83740	87220	So it's extremely hard to do all of those additions, but you could go out someplace
87220	92720	brand new, build a brand new apartment building as long as the rules there were ones which
92720	96820	facilitated construction rather than getting in the way.
96820	103500	So I proposed that governments create new reform zones big enough to hold cities and
103500	106980	gave them a name, charter cities.
106980	112100	Later I learned that about this same time, Javier and Octavio were thinking about the
112100	115140	challenge of reform in Honduras.
115140	121100	They knew that about 75,000 Hondurans every year would leave to go to the United States,
121100	125500	and they wanted to ask what could they do to make sure that those people could stay
125500	127580	and do the same things in Honduras.
127580	132420	At one point, Javier said to Octavio, what if we took some of our empty land, what if
132420	136700	we just gave it to an embassy, give some to the US embassy, give some to the Canadian
136740	140580	embassy, and then if people want to go work under the rules of Canada or the rules of
140580	145340	the United States, they could go get jobs, do everything they do on those embassy grounds
145340	150140	that they would otherwise have to go to Canada or the US to do.
150140	155140	In the summer of 2009, Honduras went through a wrenching constitutional crisis.
155140	161020	At the next regularly scheduled election, Pepe Lobo won in a landslide on a platform
161020	166260	that promised reform but reconciliation as well.
166260	169540	He asked Octavio to be his chief of staff.
169540	174020	Meanwhile, I was getting ready to give a talk at TED Global.
174020	179380	Through a process of refinement, trial and error, a lot of user testing, I tried to boil
179380	185700	this complicated concept of a charter city down to the bare essentials.
185700	190260	The first point was the importance of rules, like those rules that say you can't come in
190260	192860	and disturb all the existing apartment holders.
192860	196940	We pay a lot of attention to new technologies, but it takes technologies and rules to get
196940	201860	progress and it's usually the rules that hold us back.
201860	208100	In the fall of 2010, a friend from Guatemala sent Octavio a link to the TED Talk.
208100	214560	He showed it to Javier, they called me, they said, let's present this to the leaders of
214560	215560	our country.
215560	220040	So in December, we met in Miami in a hotel conference room.
220040	225000	I tried to explain this point about how valuable cities are, how much more valuable they are
225000	230540	than they cost, and I used this slide showing how valuable the raw land is in a place like
230540	231540	New York City.
231540	237280	Notice, land that's worth thousands of dollars in some cases per square meter.
237280	243880	But it was a fairly abstract discussion and at some point when there was a pause, Octavio
243880	249280	said, Paul, maybe we could watch the TED Talk.
249640	255040	So the TED Talk laid out in very simple terms, a charter city is a place where you start
255040	261540	with uninhabited land, a charter that specifies the rules that will apply there, and then
261540	267140	a chance for people to opt in, to go live under those rules or not.
267140	273020	So I was asked by the president of Honduras, who said that we need to do this project,
273020	276760	this is important, this could be the way forward for our country.
276820	281940	I was asked to come to Tegucigalpa and talk again on January 4th and 5th.
281940	288140	So I presented another fact-filled lecture that included a slide like this, which tried
288140	291980	to make the point that if you want to create a lot of value in a city, it has to be very
291980	292980	big.
292980	297200	This is a picture of Denver, and the outline is the new airport that was built in Denver.
297200	301620	This airport alone covers more than 100 square kilometers.
301620	305140	So I was trying to persuade the Hondurans, if you build a new city, you've got to start
305160	308440	with a site that's at least 1,000 square kilometers.
308440	314640	That's more than 250-100,000 acres.
314640	316380	Everybody applauded politely.
