start	end	text
0	21860	I just came back from a community that holds a secret to human survival.
21860	29400	It's a place where women run the show, have sex to say hello, and play rules a day.
29400	37680	Where fun is serious business, and no, this isn't Burning Man or San Francisco.
37680	41020	Ladies and gentlemen, meet your cousins.
41020	45960	This is the world of wild bonobos in the jungles of Congo.
45960	52160	Bonobos are, together with chimpanzees, your living closest relative.
52160	57520	That means we all share a common ancestor, an evolutionary grandmother who lived around
57520	60080	six million years ago.
60080	68600	Now, chimpanzees are well known for their aggression.
68600	74200	But unfortunately, we have made too much of an emphasis of this aspect in our narratives
74200	77040	of human evolution.
77040	80800	But bonobos show us the other side of the coin.
81320	89240	While chimpanzees are dominated by big, scary guys, bonobos society is run by empowered
89240	91840	females.
91840	98320	These guys have really worked something out, since this leads to a highly tolerant society,
98320	103520	where fatal violence has not been observed yet.
103520	108640	But unfortunately, bonobos are the least understood of the great apes.
108680	115360	They live in the depths of the Congolese jungle, and it has been very difficult to study them.
115360	123000	Dear Congo is a paradox, a land of extraordinary biodiversity and beauty, but also the heart
123000	130960	of darkness itself, the scene of a violent conflict that has raged for decades and claimed
130960	137140	nearly as many lives as the First World War.
137140	143180	Not surprisingly, this destruction also endangers bonobo survival.
143180	149440	Bush mid-trade and forest loss means we couldn't fill a small stadium with all the bonobos
149440	155140	that are left in the world, and we're not even sure of that, to be honest.
155140	163820	Yet in this land of violence and chaos, you can hear hidden laughter swaying the trees.
163820	166820	Who are these cousins?
166820	172980	We know them as they make love, not war, apes, since they have frequent promiscuous
172980	178420	and bisexual sex to manage conflict and solve social issues.
178420	185400	Now, I'm not saying this is the solution to all of humanity's problems, since there's
185400	189300	more to bonobo life than the Kama Sutra.
189300	193100	Bonobos like humans love to play throughout their entire lives.
193100	195560	Play is not just child's games.
195560	201740	For us and them, play is foundational for bonding relationships and fostering tolerance.
201740	207120	It's where we learn to trust and where we learn about the rules of the game.
207120	216200	Play increases creativity and resilience, and it's all about the generation of diversity.
216200	222320	Diversity of interactions, diversity of behaviors, diversity of connections.
222320	228120	And when you watch bonobo play, you're seeing the very evolutionary roots of human laughter,
228120	231320	dance, and ritual.
231320	234480	Play is the glue that binds us together.
234480	241040	Now, I don't know how you play, but I want to show you a couple of unique clips, fresh
241040	242040	from the wild.
242040	245560	First, it's a ballgame, bonobo style.
245560	248000	And I do not mean football.
248000	254560	So here, we have a young female and a male engaged in a chase game.
254560	256660	Have a look what she's doing.
256660	261600	It might be the evolutionary origin of the phrase, she's got him by the balls.
261600	268760	Only that I think he's rather loving it here, right?
268760	271760	Yeah.
271760	276280	So sex play is common in both bonobos and humans.
276280	285400	And this video is really interesting because it shows the inventiveness of bringing unusual
285400	293480	elements into play, such as testicles, and also how play both requires trust and fosters
293480	298360	trust, while at the same time being tremendous fun.
298360	309840	But play is a shape-shifter, and it can take many forms, some of which are more quiet,
309840	314440	imaginative, curious, maybe where wonder is discovered anew.
314440	320360	And I want you to see, this is Fuku, a young female, and she's quietly playing with water.
320360	325760	I think like her, we sometimes play alone, and we explore the boundaries of our inner
325760	328840	and our outer worlds.
328840	334680	And it's that playful curiosity that drives us to explore, drives us to interact.
334680	341860	And then the unexpected connections we form are the real hotbed for creativity.
341860	349520	So these are just small tasters into the insights that bonobos give us to our past and present.
349520	356000	But they also hold a secret for our future, a future where we need to adapt to an increasingly
356000	361560	challenging world through greater creativity and greater cooperation.
361560	367040	The secret is that play is the key to these capacities.
367040	371240	In other words, play is our adaptive wild card.
371240	378720	In order to adapt successfully to a changing world, we need to play.
378720	382360	But will we make the most of our playfulness?
382360	386440	Play is not frivolous, play is essential.
386440	391760	For bonobos and humans alike, life is not just red in tooth and claw.
391760	396600	In times when it seems least appropriate to play, it might be the times when it's most
396600	398740	urgent.
398740	407220	And so, my fellow primates, let us embrace this gift from evolution and play together
407220	412200	as we rediscover creativity, fellowship, and wonder.
412200	412700	Thank you.
