start	end	text
0	23560	How would you like to be better than you are? Suppose I said that with just a few changes
23560	30680	in your genes you could get a better memory, more precise, more accurate, and quicker.
30680	36680	Or maybe you'd like to be more fit, stronger, with more stamina. Would you like to be more
36680	43980	attractive and self-confident? How about living longer, with good health? Or perhaps you're
43980	52120	one of those who's always yearned for more creativity. Which one would you like the most?
52120	59640	Which would you like if you could have just one? Creativity. How many people would choose
59640	63840	creativity? Raise your hands, let me see. A few, probably about as many as there are
63840	72120	creative people here, that's very good. How many would opt for memory? Quite a few more.
72120	79540	How about fitness? A few less. What about longevity? Ah, the majority, that makes me
79540	85180	feel very good as a doctor. If you could have any one of these, it would be a very
85180	93420	different world. Is it just imaginary? Or is it perhaps possible? Evolution has been
93420	99780	a perennial topic here at the TED conference. But I want to give you today one doctor's
99780	106840	take on the subject. The great 20th century geneticist, T.G. Dobzhansky, who was also
106840	113120	a communicant in the Russian Orthodox Church, once wrote an essay that he titled, Nothing
113120	120280	in Biology Makes Sense Except in the Light of Evolution. Now, if you are one of those
120280	125520	who does not accept the evidence for biological evolution, this would be a very good time
125520	129440	to turn off your hearing aid, take out your personal communications device, I give you
129440	134480	permission, and perhaps take another look at Catherine Schultz's book on being wrong,
134480	140840	because nothing in the rest of this talk is going to make any sense whatsoever to you.
140840	149960	But if you do accept biological evolution, consider this. Is it just about the past?
149960	157420	Or is it about the future? Does it apply to others? Or does it apply to us? This is another
157420	164580	look at the tree of life. In this picture, I've put a bush with a center branching out
164580	170660	in all directions, because if you look at the edges of the tree of life, every existing
170660	176780	species at the tips of those branches has succeeded in evolutionary terms. It has survived.
176780	185020	It has demonstrated a fitness to its environment. The human part of this branch, way out on
185020	192460	one end, is of course the one that we are most interested in. We branch off of a common
192460	199420	ancestor to modern chimpanzees about six or eight million years ago. In the interval,
199420	207660	there have been perhaps 20 or 25 different species of hominids. Some have come and gone.
207660	214220	We have been here for about 130,000 years. It may seem like we're quite remote from other
214220	221820	parts of this tree of life, but actually for the most part, the basic machinery of
221820	228340	our cells is pretty much the same. Do you realize that we can take advantage and commandeer
228340	234860	the machinery of a common bacterium to produce the protein of human insulin used to treat
234860	240860	diabetics? This is not like human insulin. This is the same protein that is chemically
240860	248300	indistinguishable from what comes out of your pancreas. And speaking of bacteria, do
248300	254900	you realize that each of us carries in our gut more bacteria than there are cells in
254900	259740	the rest of our body? Maybe 10 times more. I mean, think of it. When Anthony Damasio
259740	268980	asks about your self-image, do you think about the bacteria? Our gut is a wonderfully hospitable
268980	275020	environment for those bacteria. It's warm. It's dark. It's moist. It's very cozy. And
275020	278340	you're going to provide all the nutrition that they could possibly want with no effort
278340	284740	on their part. It's really like an easy street for bacteria with the occasional interruption
284740	292220	of the unintended forced rush to the exit. But otherwise, you are a wonderful environment
292220	297860	for those bacteria, just as they are essential to your life. They help in the digestion of
297860	304500	essential nutrients, and they protect you against certain diseases. But what will come
304500	311820	in the future? Are we at some kind of evolutionary equipoise as a species, or are we destined
311820	319580	to become something different, something perhaps even better adapted to the environment? Now
319580	325660	let's take a step back in time to the Big Bang. Fourteen billion years ago, the Earth,
325660	331140	the solar system about four and a half billion years, the first signs of proto-life maybe
331140	337020	three to four billion years ago on Earth, the first multi-celled organisms perhaps as
337020	346380	much as 800 or a billion years ago, and then the human species finally emerging in the
346380	353220	last 130,000 years. In this vast unfinished symphony of the universe, life on Earth is
353220	361740	like a brief measure, the animal kingdom like a single, single measure, and human life
361740	368980	a small grace note. That was us. That also constitutes the entertainment portion of this
368980	376700	talk, so I hope you enjoyed it. Now, when I was a freshman in college, I took my first
376700	383780	biology class. I was fascinated by the elegance and beauty of biology. I became enamored of
383780	389780	the power of evolution, and I realized something very fundamental. In most of the existence
389780	395700	of life in single-celled organisms, each cell simply divides, and all of the genetic energy
395700	401980	of that cell is carried on in both daughter cells. But at the time multi-celled organisms
401980	409820	come online, things start to change. Sexual reproduction enters the picture, and very
409820	415780	importantly, with the introduction of sexual reproduction that passes on the genome, the
415780	424540	rest of the body becomes expendable. In fact, you could say that the inevitability of the
424540	431180	death of our bodies enters in evolutionary time at the same moment as sexual reproduction.
431180	437660	Now, I have to confess, when I was a college undergraduate, I thought, okay, sex, death,
437660	444740	sex, death, death for sex seemed pretty reasonable at the time, but with each passing year, I've
444740	450140	come to have increasing doubts. I've come to understand the sentiments of George Burns,
450140	454540	who was performing still in Las Vegas well into his 90s, and one night, there's a knock
454540	460120	at his hotel room door. He answers the door. Standing before him is a gorgeous, scantily
460120	466780	clad showgirl. She looks at him and says, I'm here for super sex. That's fine, says
466780	478660	George. I'll take the soup. I came to realize, as a physician, that I was working toward
478660	485240	a goal which was different from the goal of evolution, not necessarily contradictory,
485240	490380	just different. I was trying to preserve the body. I wanted to keep us healthy. I wanted
