start	end	text
0	22760	My name is Amit and 18 months ago I had another job at Google and I pitched this idea of doing
22760	28640	something with museums and art to my boss who is actually here and she allowed me to
28640	35700	do it. It took 18 months, a lot of fun negotiations and stories I can tell you with 17 very interesting
35700	41120	museums from 9 countries but I'm going to focus on the demo. There are a lot of stories
41120	45960	about why we did this. I think my personal story is explained very simply in the slide
45960	53000	and it's access. I grew up in India, had a great education, not complaining, but I didn't
53000	57880	have access to a lot of these museums and these artworks. When I started traveling and
57920	63040	going to these museums I started learning a lot and while working at Google I tried
63040	69720	to put this desire to make it more accessible with technology together. So we formed a team,
69720	74320	a great team of people and we started doing this. I'm going to probably get into the demo
74320	80160	and then tell you a couple of the interesting things we've had since launch. So simple,
80160	85120	you come to googleartproject.com, you look around all these museums here, you've got
85120	89880	the Uffizi, you've got the MoMA, the Hermitage, the Rikes, the Van Gogh. I'm going to actually
89880	95840	get to one of my favorites, the Metropolitan Museum of Art in New York. Two ways of going
95840	101760	in, very simple, click and bang, you're in this museum, doesn't matter where you are,
101760	106760	Bombay, Mexico, doesn't really matter. You move around, you have fun, you want to navigate
106760	113320	around the museum, open the plan up and in one click jump. You're in there, you want
113320	124600	to go to the end of the corridor, keep going, have fun, explore. Thanks, I haven't come
124600	131720	to the best part. So now I'm in front of one of my favorite paintings, The Harvesters by
131720	135880	Peter Bruegel at the Met. I see this plus sign, if the museum has given us the image,
135880	140120	you click on it. Now this is one of the images, so this is all the metadata information for
140120	144000	those of you who are truly interested in art, you can click this, but I'm going to
144000	148840	click this off right now. This is one of these images that we captured in what we call gigapixel
148840	153840	technology. This image, for example, has close to I think around 10 billion pixels. I get
153840	158160	a lot of people asking me, what do you get for 10 billion pixels? I'm going to try and
158160	163000	show you what you really get for 10 billion pixels. You can zoom around very simply, you
163000	168840	see some fun stuff happening here. I love this guy, his expression is priceless. But
168840	173200	then you really want to go deep. And so I started playing around, and I found something
173200	179440	going on over here. And I was like, hold on, that sounds interesting. Went in, and I started
179440	184280	noticing that these kids were actually beating something. I did a little research, spoke
184280	188560	to a couple of my contacts at the Met, and I actually found out that this is a game called
188560	194640	Skull, which involves beating a goose with a stick on Shrove Tuesday. And apparently
194640	198080	it was quite popular. I don't know why they did it, but you know, I learned something
198080	202720	about it. Now, just, you know, we're really deep in, you can really get the cracks. Now
202720	207640	just to give you some perspective, I'm going to zoom out so you really see what you get.
207640	224240	Here is where we were, and this is the painting. So, the best is yet to come, so in a second.
224320	230520	So now, let's just quickly jump into the MoMA, again in New York. So, another one of my favorites,
230520	234680	the Starry Night. Now, the example I showed you was all about finding details. But what
234680	238320	if you want to see brush strokes? And what if you want to see, you know, how Van Gogh
238320	242680	actually created this masterpiece? You zoom in, you really go in, I'm going to go to one
242680	248200	of my favorite parts in this painting, and I'm really going to get to the cracks. This
248200	253660	is the Starry Night, I think, you know, never seen like this before. I'm going to show you
253660	257680	my other favorite feature. There's a lot of other stuff here, but I don't have time.
257680	262300	This is the real cool part. It's called Collections. Any one of you, anybody, doesn't matter if
262300	266860	you're rich, if you're poor, if you have, you know, a fancy, you know, house, doesn't
266860	270580	matter. You can go and create your own museum online, create your own collection across
270580	275100	all these images. Very simply, you go in, and I've created this called The Power of
275100	280620	Zoom. You can just zoom around. This is the Ambassadors, based in the National Gallery.
280620	284740	You can annotate the stuff, send it to your friends, and really get a conversation going
284740	290700	about what you're feeling when you go through these masterpieces. So I think in conclusion,
290700	295740	for me, the main thing is that all the amazing stuff here does not really come from Google.
295740	299220	It doesn't, in my opinion, even come from the museums. Probably shouldn't say that.
299220	304700	It really comes from these artists. And, you know, that's been my humbling experience in
304700	309820	this. I mean, I hope in this digital medium that we do justice to their artwork and represent
309820	315180	it properly online. And the biggest question I get asked nowadays is, did you do this to
315180	320660	replicate the experience of going to a museum? And the answer is no. It's to supplement the
320660	322780	experience. And that's it. Thank you.
