start	end	text
0	20000	Do you know how many choices you make in a typical day?
20000	25240	Do you know how many choices you make in a typical week?
25240	31000	I recently did a survey with over 2,000 Americans, and the average number of choices that the
31000	35360	typical American reports making is about 70 in a typical day.
35360	41800	There was also recently a study done with CEOs in which they followed CEOs around for
41800	42800	a whole week.
42800	47140	And these scientists simply documented all the various tasks that these CEOs engaged
47140	52360	in and how much time they spent engaging in making decisions related to these tasks.
52360	58040	And they found that the average CEO engaged in about 139 tasks in a week.
58040	61680	Each task was made up of many, many, many, many sub-choices, of course.
61680	67660	50% of their decisions were made in nine minutes or less.
67660	74360	Only about 12% of the decisions did they make in an hour or more of their time.
74360	76120	Think about your own choices.
76120	79980	Do you know how many choices make it into your nine minute category versus your one
79980	82060	hour category?
82060	87060	How well do you think you're doing at managing those choices?
87060	91820	Today I want to talk about one of the biggest modern day choosing problems that we have,
91820	93460	which is the choice overload problem.
93460	98460	I want to talk about the problem and some potential solutions.
98460	102160	Now as I talk about this problem, I'm going to have some questions for you, and I'm going
102160	104860	to want to know your answers.
104860	110860	So when I ask you a question, since I'm blind, only raise your hands if you want to burn
110860	114980	off some calories.
114980	120140	Otherwise when I ask you a question, and if your answer is yes, I'd like you to clap your
120140	121180	hands.
121180	125820	So for my first question for you today, are you guys ready to hear about the choice overload
125820	129740	problem?
129740	131120	Thank you.
131120	135480	So when I was a graduate student at Stanford University, I used to go to this very, very
135480	138940	upscale grocery store, at least at that time it was truly upscale.
139020	140900	It was a store called Draeger's.
140900	144900	Now this store, it was almost like going to an amusement park.
144900	151100	They had 250 different kinds of mustards and vinegars and over 500 different kinds of fruits
151100	155180	and vegetables and more than two dozen different kinds of bottled water.
155180	158940	And this is during a time when we actually used to drink tap water.
158940	164740	I used to love going to this store, but on one occasion, I asked myself, well, how come
164740	165740	you never buy anything?
165740	167780	Oh, here's their olive oil aisle.
167820	171900	They had over 75 different kinds of olive oils, including those that were in a locked
171900	175800	case that came from a thousand year old olive trees.
175800	179860	So I one day decided to pay a visit to the manager and I asked the manager, you know,
179860	182900	is this model of offering people all this choice really working?
182900	187500	And he pointed to the busloads of tourists that would show up every day with cameras
187500	188500	ready usually.
188500	193660	We decided to do a little experiment and we picked jam for our experiment.
193660	194900	Here's their jam aisle.
194900	197720	They had 348 different kinds of jam.
197720	201560	We set up a little tasting booth right near the entrance of the store.
201560	206480	We either put out six different flavors of jam or 24 different flavors of jam.
206480	208960	And we looked at two things.
208960	214420	First, in which case were people more likely to, you know, stop, sample some jam?
214420	221280	More people stopped when they were 24, about 60%, than when there were six, about 40%.
221280	226400	The next thing we looked at is in which case were people more likely to buy a jar of jam?
226920	228880	Now we see the opposite effect.
228880	234280	Of the people who stopped when they were 24, only 3% of them actually bought a jar of jam.
234280	239620	Of the people who stopped when they were six, well now we saw that 30% of them actually
239620	241700	bought a jar of jam.
