start	end	text
0	20200	This may sound strange, but I'm a big fan of the concrete block.
20200	22880	The first concrete blocks were manufactured in 1868.
22880	25640	It was a very simple idea.
25640	34880	Concrete blocks became the most used construction unit in the world.
34880	39480	They enabled us to build things that were larger than us, buildings, bridges, one brick
39480	41080	at a time.
41080	46080	Essentially, concrete blocks had become the building block of our time.
46080	50600	Almost 100 years later, in 1947, Lego came out with this.
50600	53280	It was called the automatic binding brick.
53280	57600	In a few short years, Lego bricks took place in every household.
57600	61920	It's estimated that over 400 billion bricks have been produced, or 75 bricks for every
61920	64200	person on the planet.
64200	68240	You didn't have to be an engineer to make beautiful houses, beautiful bridges, beautiful
68240	69240	buildings.
69240	70240	Lego made it accessible.
70240	74640	Lego had essentially taken the concrete block, the building block of the world, and made
74640	77600	it into the building block of our imagination.
77600	82920	Meanwhile, the exact same year, at Bell Labs, the next revolution was about to be announced.
82920	84480	The next building block.
84480	89480	The transistor was a small plastic unit that would take us from a world of static bricks
89480	93960	piled on top of each other to a world where everything was interactive.
93960	99200	Like the concrete block, the transistor allows you to build much larger, more complex circuits,
99200	102160	one brick at a time, but there's a main difference.
102160	104440	The transistor was only for experts.
104440	109680	I personally don't accept this, that the building block of our time is reserved for experts,
109680	112960	so I decided to change that.
112960	116900	Eight years ago, when I was at the Media Lab, I started exploring this idea of how to put
116900	121200	the power of engineers in the hands of artists and designers.
121200	123760	A few years ago, I started developing little bits.
123760	128200	Let me show you how they work.
128200	134060	Little bits are electronic modules with each one specific function.
134060	140960	They're pre-engineered to be light, sound, motors, and sensors.
140960	146620	And the best part about it is they snap together with magnets.
146620	149680	So you can't put them the wrong way.
149680	151460	The bricks are color coded.
151460	156220	Green is output, blue is power, pink is input, and orange is wire.
156220	160860	So all you need to do is snap a blue to a green, and very quickly, you can start making
160860	162620	larger circuits.
162620	165900	You put a blue to a green, you can make light.
165900	170540	You can put a knob in between.
170540	174140	And now you've made a little dimmer.
174140	181980	Switch out the dimmer, the knob, for a pulse module, which is here.
181980	185300	And now you've made a little blinker.
185300	191900	Add this buzzer for some extra punch, and you've created a noise machine.
191900	193220	I'm going to stop then.
193220	198380	So beyond simple play, little bits are actually pretty powerful.
198380	202900	Instead of having to program, to wire, to solder, little bits allow you to program using
202900	204940	very simple intuitive gestures.
204940	209160	So to make this blink faster or slower, you would just turn this knob and basically make
209160	212180	it pulse faster or slower.
212180	215800	The idea behind little bits is that it's a growing library.
215800	219860	We want to make every single interaction in the world into a ready-to-use brick.
219860	224340	Lights, sounds, solar panels, motors, everything should be accessible.
224340	227820	We've been giving little bits to kids and seeing them play with them, and it's been
227820	229140	an incredible experience.
229140	233260	The nicest thing is how they start to understand the electronics around them from every day
233260	234840	that they don't learn at schools.
234840	240420	For example, how a nightlight works, or why an elevator door stays open, or how an iPod
240420	242540	responds to touch.
242540	244780	We've also been taking little bits to design schools.
244780	249020	So for example, we've had designers with no experience with electronics whatsoever start
249060	251740	to play with little bits as a material.
251740	255740	Here you see, with felt and paper water bottles, we have Jordi making ...
255740	266260	A few weeks ago, we took little bits to RISD and gave them to some designers with no experience
266260	272140	in engineering whatsoever, just cardboard, wood, and paper, and told them, make something.
272140	278260	Here's an example of a project they made, a motion-activated confetti cannonball.
278260	281740	Oh, wait, this is actually my favorite project.
281740	293020	It's a lobster made of Play-Doh that's afraid of the dark.
293020	296620	To these non-engineers, little bits became another material.
296620	300140	Electronics became just another material, and we want to make this material accessible
300140	301140	to everyone.
301140	302560	So little bits is open source.
302560	306180	You can go on the website, download all the design files, make them yourself.
306180	311940	We want to encourage a world of creators, of inventors, of contributors, because this
311940	314840	world that we live in, this interactive world, is ours.
314840	317340	So go ahead and start inventing.
317340	317700	Thank you.
