start	end	text
0	21160	My story begins right here, actually, in Rajasthan, about two years ago.
21160	26360	I was in the desert under the starry skies with this Sufi singer, Muktiara Lee.
26360	30840	And we were in conversation about how nothing had changed since the time of the ancient
30840	33280	Indian epic, the Mahabharata.
33280	37480	So back in the day, when us Indians wanted to travel, we'd jump into our chariots and
37480	39460	we'd zoom across the sky.
39460	42360	Now we do the same with aeroplanes.
42360	47480	Back then, when Arjuna, the great Indian warrior prince, when he was thirsty, he'd take out
47480	50960	a boat, he'd shoot it into the ground and water would come out.
50960	55040	Now we do the same with drills and machines.
55040	61000	The conclusion that we came to was that magic had been replaced by machinery.
61000	63360	And this made me really sad.
63360	66480	I found myself becoming a little bit of a technophobe.
66480	71840	I was terrified by this idea that I would lose the ability to enjoy and appreciate a
71840	76240	sunset without having my camera on me, without tweeting it to my friends.
76240	80620	And it felt like technology should enable magic, not kill it.
80620	85380	When I was a little girl, my grandfather gave me his little silver pocket watch.
85380	90340	And this piece of 50-year-old technology became the most magical thing to me.
90340	95700	It became a gilded gateway into a world full of pirates and shipwrecks and images in my
95700	97540	imagination.
97540	102980	So I felt like our cell phones and our fancy watches and our cameras had stopped us from
102980	103980	dreaming.
103980	105980	They've stopped us from being inspired.
105980	106980	And so I jumped in.
106980	111300	I jumped into this world of technology to see how I could use it to enable magic as
111300	113020	opposed to kill it.
113020	115700	I've been illustrating books since I was 16.
115700	120580	And so when I saw the iPad, I saw it as a storytelling device that could connect readers
120580	121580	all over the world.
121580	125220	It could know how we're holding it.
125220	127680	It can know where we are.
127680	133100	It brings together image and text and animation and sound and touch.
133100	136060	Storytelling is becoming more and more multisensorial.
136060	137500	But what are we doing with it?
137500	145380	So I'm actually just going to go in and launch Koya, an interactive app for the iPad.
145380	148900	So it says, place your fingers upon each light.
148900	178660	And so it says, the spot belongs to Koya, Koya, Koya, Koya, Koya, Koya, Koya, Koya,
179420	184460	And so I type in my name and actually become a character in the book.
184460	189220	At various points, a little letter drops down to me, and the iPad knows where you live because
189220	190220	of GPS.
190220	191580	It's actually addressed to me.
191580	196300	The child in me is really excited by these kind of possibilities.
196300	198820	Now I've been talking a lot about magic.
198820	201660	And I don't mean wizards and dragons.
201660	206100	I mean the kind of childhood magic, those ideas that we all harbored as children.
206540	211220	This idea of fireflies in a jar, for some reason, was always really exciting to me.
211220	216300	And so over here, you need to tilt your iPad, take the fireflies out, and they actually
216300	222580	illuminate your way through the rest of the book.
222580	227180	Another idea that really fascinated me as a child was that an entire galaxy could be
227180	229700	contained within a single marble.
229700	236420	And so over here, each book and each world becomes into a little marble that I drag in
236420	245900	to this magical device within the device, and it opens up a map.
245900	249980	All along, all fantasy books have always had maps, but these maps have been static.
249980	254660	This is a map that grows and glows and becomes your navigation for the rest of the book.
254660	258180	It reveals itself to you at certain points in the book as well.
258180	262700	So I'm just going to enter in.
262700	268140	Another thing that's actually really important to me is creating content that is Indian and
268140	270420	yet very contemporary.
270420	272300	Over here, these are the Apsaras.
272300	276820	So we've all heard about fairies and we've all heard about nymphs, but how many people
276820	280760	outside of India know about their Indian counterparts, the Apsaras?
280760	285460	These poor Apsaras have been trapped inside Indra's chambers for thousands of years in
285460	287620	an old and musty book.
287620	301060	And so we're bringing them back in a contemporary story for children, and a story that actually
301060	303540	deals with new issues like the environmental crisis.
317620	332820	Speaking of the environmental crisis, I think a big problem has been in the last ten years
332820	336260	is that children have been locked inside their rooms, glued to their PCs, they haven't been
336260	337380	able to get out.
337380	341700	But now with mobile technology, we can actually take our children outside into the natural
341700	343740	world with their technology.
343740	348140	One of the interactions in the book is that you're sent off on this quest where you need
348140	353380	to go outside, take out your camera on the iPad and collect pictures of different natural
353380	354380	objects.
354380	359460	When I was a child, I had multiple collections of sticks and stones and pebbles and shells,
359460	361440	and somehow kids don't do that anymore.
361440	365820	So in bringing back this childhood ritual, you need to go out and in one chapter, take
365820	369660	a picture of a flower and then tag it.
369660	373540	In another chapter, you need to take a picture of a piece of bark and then tag that.
373540	377260	And what happens is that you actually create a digital collection of photographs that you
377260	378900	can then put up online.
378900	383100	A child in London puts up a picture of a fox and says, oh, I saw a fox today.
383100	385180	A child in India says, I saw a monkey today.
385180	389200	And it creates this kind of social network around a collection of digital photographs
389200	390860	that you've actually taken.
390860	397100	In terms of, in the possibilities of linking together magic, the earth and technology,
397100	398780	there are multiple possibilities.
398780	402940	In the next book, we plan on having an interaction where you take your iPad out with the video
402980	407940	on, and through augmented reality, you see this layer of animated pixies appear on a
407940	410940	house plant that's outside your house.
410940	413420	At one point, your screen is filled up with leaves.
413420	418220	And so you need to make the sound of wind and blow them away and read the rest of the
418220	419220	book.
419220	420220	We're moving.
420220	426460	We're all moving here to a world where the forces of nature come closer together to technology.
426460	429180	And magic and technology can come closer together.
429420	434860	We're harnessing energy from the sun, where we're bringing our children and ourselves
434860	440860	closer to the natural world and that magic and joy and childhood love that we had through
440860	443100	the simple medium of a story.
443100	444100	Thank you.
444100	445100	Thank you.
445100	446100	Thank you.
446100	446600	Thank you.
