start	end	text
0	20440	So, I'm here to share my photography.
20440	22880	Or is it photography?
22880	27720	Because of course, this is a photograph that you can't take with your camera.
27720	34040	My interest in photography started as I got my first digital camera at the age of 15.
34040	38900	It mixed with my earlier passion for drawing, but it was a bit different.
38900	42740	Because using the camera, the process was in the planning instead.
42740	48080	And when you take a photograph with the camera, it's just the process ends when you press
48080	49760	the trigger.
49760	53960	So to me it felt like photography was more about being at the right place at the right
53960	54960	time.
55520	58500	I felt like anyone could do that.
58500	63560	So I wanted to create something different, something where the process starts when you
63560	66140	press the trigger.
66140	73300	Photos like this, construction going on along a busy road, but it has an unexpected twist.
73300	77800	And despite that, it retains a level of realism.
78480	85880	Photos like these, both dark and colorful, but all with a common goal of retaining the
85880	88520	level of realism.
88520	96040	When I say realism, I mean photorealism, because of course, it's not something you can capture
96040	101920	really, but I always wanted to look like it could have been captured somehow as a photograph.
101920	107000	Photos where you will need a brief moment to think, to figure out the trick.
107000	112680	So it's more about capturing an idea than about capturing a moment really.
112680	116880	But what's the trick that makes it look realistic?
116880	120280	Is it something about the details or the colors?
120280	123260	Is it something about the light?
123260	127400	What creates the illusion?
127400	132440	Sometimes the perspective is the illusion, but in the end it comes down to how we interpret
132440	136120	the world and how it can be realized on a two-dimensional surface.
137000	142760	It's not really what is realistic, it's what we think looks realistic really.
142760	146320	So I think the basics are quite simple.
146320	150940	I just see it as a puzzle of reality, where you just can take different pieces of reality
150940	155240	and put it together to create alternate reality.
155240	158480	Let me show you a simple example.
158480	162340	Here we have three perfectly imaginable physical objects.
162340	165800	Something we all can relate to living in a three-dimensional world.
165800	172120	But combined in a certain way, they can create something that still looks three-dimensional.
172120	174480	Like it could exist.
174480	177280	But at the same time we know it can't.
177280	181560	So we trick our brains because our brain simply doesn't accept the fact that it doesn't really
181560	183480	make sense.
183480	188520	And I see the same process with combining photographs.
188520	192840	It's just really about combining different realities.
192840	197040	So the things that make a photograph look realistic.
197040	199400	I think it's the things that we don't even think about.
199400	204120	The things all around us in our daily lives.
204120	208220	But when combining photographs, this is really important to consider.
208220	212120	Because otherwise it just looks wrong somehow.
212120	216200	So I would like to say that there are three simple rules to follow to achieve a realistic
216200	218720	result.
218720	221300	As you can see these images aren't really special.
221300	227660	But combined they can create something like this.
227660	232180	So the first rule is that photos combined should have the same perspective.
232180	237460	Secondly, photos combined should have the same type of light.
237460	240300	And these two images both fulfill these two requirements.
240300	244300	Shot at the same height and in the same type of light.
244300	248740	The third one is about making it impossible to distinguish where the different images
248740	250520	begin and end.
250520	252920	By making it seamless.
252920	257440	Make it impossible to say how the image actually was composed.
257440	263440	So by matching color, contrast and brightness in the borders between the different images.
263440	270360	Adding photographic defects like depth of field, desaturated colors and noise.
270360	275280	Erase the borders between the different images and make it look like one single image.
275280	280720	Despite the fact that one image can contain hundreds of layers basically.
280720	286280	So here's another example.
286280	290120	One might think that this is just an image of a landscape and the lower part is what's
290120	291760	manipulated.
291760	297800	But this image is actually entirely composed of photographs from different locations.
297800	302960	I personally think that it's easier to actually create a place than to find a place.
302960	306960	Because then you don't need to compromise with the ideas in your head.
306960	310600	But it does require a lot of planning.
310600	313840	And getting this idea during winter, I knew that I had several months to plan it.
313840	318960	To find the different locations for the pieces for the puzzle basically.
318960	323640	So for example the fish is captured on a fishing trip.
323640	325520	The shores are from a different location.
325520	328760	The underwater part is captured in a stone pit.
328760	334680	And I even turned the house on top of the island red to make it look more Swedish.
334680	339840	So to achieve a realistic result, I think it comes down to planning.
339840	343880	It always starts with a sketch, an idea.
343880	347400	Then it's about combining the different photographs.
347400	350280	And here every piece is very well planned.
350280	355720	And if you do a good job capturing the photos, the result can be quite beautiful.
355720	358800	And also quite realistic.
358800	362800	So all the tools are out there.
362800	370760	And the only thing that limits us is our imagination.
370760	371760	Thank you.
371760	372760	Thank you.
372760	372780	Thank you.
