start	end	text
0	22160	How can I speak in ten minutes about the bonds of women over three generations?
22160	27000	About how the astonishing strength of those bonds took hold in the life of a four year
27000	34240	old girl, huddled with her young sister, her mother, and her grandmother, for five days
34240	40200	and nights in a small boat in the China Sea more than thirty years ago.
40200	45000	Bonds that took hold in the life of that small girl and never let go.
45000	50560	That small girl now living in San Francisco and speaking to you today.
50560	56600	This is not a finished story, it is a jigsaw puzzle still being put together.
56600	60680	Let me tell you about some of the pieces.
60680	65120	Imagine the first piece, a man burning his life's work.
65120	71640	He is a poet, a playwright, a man whose whole life had been balanced on the single hope
71640	75060	of his country's unity and freedom.
75060	79800	Imagine him as the communists enter Saigon, confronting the fact that his life had been
79800	81920	a complete waste.
81920	85680	Words for so long his friends now mocked him.
85680	88160	He retreated into silence.
88160	91920	He died broken by history.
91920	94440	He is my grandfather.
94440	98480	I never knew him in real life.
98480	101860	But our lives are much more than our memories.
101860	105120	My grandmother never let me forget his life.
105120	110640	My duty was not to allow it to have been in vain, and my lesson was to learn that yes,
110640	115440	history tried to crush us, but we endured.
115440	120440	The next piece of the jigsaw is of a boat in the early dawn, slipping silently out to
120440	122280	sea.
122280	128420	My mother Mai was 18 when her father died, already in an arranged marriage, already with
128420	130980	two small girls.
130980	136600	For her, life had distilled itself into one task, the escape of her family and a new life
136600	138960	in Australia.
138960	143160	It was inconceivable to her that she would not succeed.
143160	148240	So after a four-year saga that defies fiction, a boat slipped out to sea, disguised as a
148240	150860	fishing vessel.
150860	153800	All the adults knew the risks.
153800	158480	The greatest fear was of pirates, rape and death.
158480	163920	Like most adults on the boat, my mother carried a small bottle of poison.
163920	170900	If we were captured, first my sister and I, then she and my grandmother would drink.
170900	173700	My first memories are from the boat.
173700	181420	The steady beat of the engine, the bow dipping into each wave, the vast and empty horizon.
181420	185860	I don't remember the pirates who came many times but were bluffed by the bravado of the
185860	192700	men on our boat, or the engine dying and failing to start for six hours.
192700	197880	But I do remember the lights on the oil rig off the Malaysian coast, and the young man
197880	203560	who collapsed and died, the journey's end too much for him.
203560	208040	And the first apple I tasted, given to me by the men on the rig.
208040	213800	No apple has ever tasted the same.
213800	218880	After three months in a refugee camp, we landed in Melbourne, and the next piece of the jigsaw
218880	225560	is about four women across three generations, shaping a new life together.
225560	232000	We settled in Footscray, a working class suburb whose demographic is layers of immigrants.
232000	236560	Unlike the settled middle class suburbs whose existence I was oblivious of, there was no
236560	239340	sense of entitlement in Footscray.
239340	243680	The smells from shop doors were from the rest of the world, and the snippets of halting
243680	247900	English were exchanged between people who had one thing in common.
247900	250880	They were starting again.
250880	257720	My mother worked on farms, then on a car assembly line, working six days, double shifts.
257720	262680	Somehow she found time to study English and gain IT qualifications.
262680	264800	We were poor.
264800	269320	All the dollars were allocated, and extra tuition in English and mathematics was budgeted
269320	275560	for, regardless of what missed out, which was usually new clothes.
275560	277800	They were always second hand.
277800	282320	Two pairs of stockings for school, each to hide the holes in the other.
282320	288300	A school uniform down to the ankles because it had to last for six years.
288300	294160	And there were rare but searing chants of slirai and the occasional graffiti, Asian
294160	296160	go home.
296160	298680	Go home to where?
298680	300840	Something stiffened inside me.
300840	307440	There was a gathering of resolve and a quiet voice saying, I will bypass you.
307440	312080	My mother, my sister and I slept in the same bed.
312080	316740	My mother was exhausted each night, but we told one another about our day and listened
316740	320600	to the movements of my grandmother around the house.
320600	324960	My mother suffered from nightmares, all about the boat.
324960	331560	And my job was to stay awake until her nightmares came so I could wake her.
