start	end	text
0	20120	As an artist, connection is very important to me.
20120	25800	Through my work, I'm trying to articulate that humans are not separate from nature,
25800	29600	and that everything is interconnected.
29600	34720	I first went to Antarctica almost 10 years ago where I saw my first icebergs.
34720	36820	I was in awe.
36820	38120	My heart beat fast.
38120	43440	My head was dizzy trying to comprehend what it was that stood in front of me.
43440	48800	The icebergs around me were almost 200 feet out of the water, and I could only help but
48800	56740	wonder that this was one snowflake on top of another snowflake year after year.
56740	66240	Icebergs are born when they calve off of glaciers or break off of ice shelves.
66240	70420	Each iceberg has its own individual personality.
70420	76900	They have a distinct way of interacting with their environment and their experiences.
76900	82780	Some refuse to give up and hold on to the bitter end, while others can't take it anymore
82780	87580	and crumble in a fit of dramatic passion.
87580	91780	It's easy to think when you look at an iceberg that they're isolated, that they're separate
91780	93620	and alone.
93620	99220	Much like we as humans sometimes view ourselves, but the reality is far from it.
99220	105460	As an iceberg melts, I am breathing in its ancient atmosphere.
105460	115460	As the iceberg melts, it is releasing mineral-rich fresh water that nourishes many forms of life.
115460	120900	I approached photographing these icebergs as if I'm making portraits of my ancestors,
120900	126480	knowing that in these individual moments, they exist in that way and will never exist
126480	128140	that way again.
128140	130820	It is not a death when they melt.
130820	142060	It is not an end, but a continuation of their path through the cycle of life.
142060	148140	Some of the ice in the icebergs that I photograph is very young, a couple thousand years old,
148140	162380	and some of the ice is over a hundred thousand years old.
162380	167740	The last pictures I'd like to show you are of an iceberg that I photographed in Kekataswak,
167740	168940	Greenland.
168940	175380	It's a very rare occasion that you get to actually witness an iceberg rolling.
175380	176780	So here it is.
176780	182780	You can see on the left side a small boat that's about a 15-foot boat.
182780	189780	And I'd like you to pay attention to the shape of the iceberg and where it is at the waterline.
189780	193420	You can see here it begins to roll and the boat has moved to the other side and the man
193420	194520	is standing there.
194520	197040	This is an average-sized Greenlandic iceberg.
197040	201940	It's about 120 feet above the water, or 40 meters.
201940	203540	This video is real time.
231940	239520	And, just like that, the iceberg shows you a different side of its personality.
239520	239920	Thank you.
